coluna A 1;coluna B 1;coluna C 1
coluna A 10061;coluna B 10061;coluna C 10061
coluna A 20067;coluna B 20067;coluna C 20067
coluna A 45044;coluna B 45044;coluna C 45044
coluna A 20068;coluna B 20068;coluna C 20068
coluna A 30081;coluna B 30081;coluna C 30081
coluna A 20069;coluna B 20069;coluna C 20069
coluna A 5050;coluna B 5050;coluna C 5050
coluna A 20070;coluna B 20070;coluna C 20070
coluna A 35039;coluna B 35039;coluna C 35039
coluna A 40066;coluna B 40066;coluna C 40066
coluna A 35040;coluna B 35040;coluna C 35040
coluna A 38;coluna B 38;coluna C 38
coluna A 35041;coluna B 35041;coluna C 35041
coluna A 15073;coluna B 15073;coluna C 15073
coluna A 35042;coluna B 35042;coluna C 35042
coluna A 25078;coluna B 25078;coluna C 25078
coluna A 35043;coluna B 35043;coluna C 35043
coluna A 10062;coluna B 10062;coluna C 10062
coluna A 35044;coluna B 35044;coluna C 35044
coluna A 45045;coluna B 45045;coluna C 45045
coluna A 35045;coluna B 35045;coluna C 35045
coluna A 30082;coluna B 30082;coluna C 30082
coluna A 35046;coluna B 35046;coluna C 35046
coluna A 5051;coluna B 5051;coluna C 5051
coluna A 35047;coluna B 35047;coluna C 35047
coluna A 20071;coluna B 20071;coluna C 20071
coluna A 35048;coluna B 35048;coluna C 35048
coluna A 40067;coluna B 40067;coluna C 40067
coluna A 39;coluna B 39;coluna C 39
coluna A 15074;coluna B 15074;coluna C 15074
coluna A 25079;coluna B 25079;coluna C 25079
coluna A 10063;coluna B 10063;coluna C 10063
coluna A 10064;coluna B 10064;coluna C 10064
coluna A 45046;coluna B 45046;coluna C 45046
coluna A 45047;coluna B 45047;coluna C 45047
coluna A 30083;coluna B 30083;coluna C 30083
coluna A 5052;coluna B 5052;coluna C 5052
coluna A 5053;coluna B 5053;coluna C 5053
coluna A 20072;coluna B 20072;coluna C 20072
coluna A 35049;coluna B 35049;coluna C 35049
coluna A 40068;coluna B 40068;coluna C 40068
coluna A 40069;coluna B 40069;coluna C 40069
coluna A 40070;coluna B 40070;coluna C 40070
coluna A 40071;coluna B 40071;coluna C 40071
coluna A 40;coluna B 40;coluna C 40
coluna A 15075;coluna B 15075;coluna C 15075
coluna A 25080;coluna B 25080;coluna C 25080
coluna A 10065;coluna B 10065;coluna C 10065
coluna A 45048;coluna B 45048;coluna C 45048
coluna A 30084;coluna B 30084;coluna C 30084
coluna A 30085;coluna B 30085;coluna C 30085
coluna A 30086;coluna B 30086;coluna C 30086
coluna A 30087;coluna B 30087;coluna C 30087
coluna A 5054;coluna B 5054;coluna C 5054
coluna A 20073;coluna B 20073;coluna C 20073
coluna A 20074;coluna B 20074;coluna C 20074
coluna A 20075;coluna B 20075;coluna C 20075
coluna A 35050;coluna B 35050;coluna C 35050
coluna A 40072;coluna B 40072;coluna C 40072
coluna A 41;coluna B 41;coluna C 41
coluna A 15076;coluna B 15076;coluna C 15076
coluna A 25081;coluna B 25081;coluna C 25081
coluna A 10066;coluna B 10066;coluna C 10066
coluna A 45049;coluna B 45049;coluna C 45049
coluna A 30088;coluna B 30088;coluna C 30088
coluna A 5055;coluna B 5055;coluna C 5055
coluna A 20076;coluna B 20076;coluna C 20076
coluna A 20077;coluna B 20077;coluna C 20077
coluna A 35051;coluna B 35051;coluna C 35051
coluna A 40073;coluna B 40073;coluna C 40073
coluna A 42;coluna B 42;coluna C 42
coluna A 15077;coluna B 15077;coluna C 15077
coluna A 15078;coluna B 15078;coluna C 15078
coluna A 25082;coluna B 25082;coluna C 25082
coluna A 10067;coluna B 10067;coluna C 10067
coluna A 45050;coluna B 45050;coluna C 45050
coluna A 30089;coluna B 30089;coluna C 30089
coluna A 5056;coluna B 5056;coluna C 5056
coluna A 20078;coluna B 20078;coluna C 20078
coluna A 35052;coluna B 35052;coluna C 35052
coluna A 35053;coluna B 35053;coluna C 35053
coluna A 40074;coluna B 40074;coluna C 40074
coluna A 43;coluna B 43;coluna C 43
coluna A 40075;coluna B 40075;coluna C 40075
coluna A 15079;coluna B 15079;coluna C 15079
coluna A 25083;coluna B 25083;coluna C 25083
coluna A 10068;coluna B 10068;coluna C 10068
coluna A 10069;coluna B 10069;coluna C 10069
coluna A 45051;coluna B 45051;coluna C 45051
coluna A 30090;coluna B 30090;coluna C 30090
coluna A 5057;coluna B 5057;coluna C 5057
coluna A 20079;coluna B 20079;coluna C 20079
coluna A 20080;coluna B 20080;coluna C 20080
coluna A 35054;coluna B 35054;coluna C 35054
coluna A 35055;coluna B 35055;coluna C 35055
coluna A 44;coluna B 44;coluna C 44
coluna A 40076;coluna B 40076;coluna C 40076
coluna A 15080;coluna B 15080;coluna C 15080
coluna A 25084;coluna B 25084;coluna C 25084
coluna A 10070;coluna B 10070;coluna C 10070
coluna A 45052;coluna B 45052;coluna C 45052
coluna A 30091;coluna B 30091;coluna C 30091
coluna A 5058;coluna B 5058;coluna C 5058
coluna A 20081;coluna B 20081;coluna C 20081
coluna A 35056;coluna B 35056;coluna C 35056
coluna A 45;coluna B 45;coluna C 45
coluna A 40077;coluna B 40077;coluna C 40077
coluna A 40078;coluna B 40078;coluna C 40078
coluna A 15081;coluna B 15081;coluna C 15081
coluna A 25085;coluna B 25085;coluna C 25085
coluna A 25086;coluna B 25086;coluna C 25086
coluna A 10071;coluna B 10071;coluna C 10071
coluna A 45053;coluna B 45053;coluna C 45053
coluna A 30092;coluna B 30092;coluna C 30092
coluna A 5059;coluna B 5059;coluna C 5059
coluna A 20082;coluna B 20082;coluna C 20082
coluna A 35057;coluna B 35057;coluna C 35057
coluna A 46;coluna B 46;coluna C 46
coluna A 40079;coluna B 40079;coluna C 40079
coluna A 15082;coluna B 15082;coluna C 15082
coluna A 25087;coluna B 25087;coluna C 25087
coluna A 25088;coluna B 25088;coluna C 25088
coluna A 10072;coluna B 10072;coluna C 10072
coluna A 10073;coluna B 10073;coluna C 10073
coluna A 45054;coluna B 45054;coluna C 45054
coluna A 30093;coluna B 30093;coluna C 30093
coluna A 5060;coluna B 5060;coluna C 5060
coluna A 20083;coluna B 20083;coluna C 20083
coluna A 35058;coluna B 35058;coluna C 35058
coluna A 47;coluna B 47;coluna C 47
coluna A 40080;coluna B 40080;coluna C 40080
coluna A 15083;coluna B 15083;coluna C 15083
coluna A 25089;coluna B 25089;coluna C 25089
coluna A 10074;coluna B 10074;coluna C 10074
coluna A 45055;coluna B 45055;coluna C 45055
coluna A 30094;coluna B 30094;coluna C 30094
coluna A 5061;coluna B 5061;coluna C 5061
coluna A 20084;coluna B 20084;coluna C 20084
coluna A 20085;coluna B 20085;coluna C 20085
coluna A 35059;coluna B 35059;coluna C 35059
coluna A 48;coluna B 48;coluna C 48
coluna A 40081;coluna B 40081;coluna C 40081
coluna A 15084;coluna B 15084;coluna C 15084
coluna A 25090;coluna B 25090;coluna C 25090
coluna A 10075;coluna B 10075;coluna C 10075
coluna A 10076;coluna B 10076;coluna C 10076
coluna A 45056;coluna B 45056;coluna C 45056
coluna A 30095;coluna B 30095;coluna C 30095
coluna A 5062;coluna B 5062;coluna C 5062
coluna A 20086;coluna B 20086;coluna C 20086
coluna A 35060;coluna B 35060;coluna C 35060
coluna A 49;coluna B 49;coluna C 49
coluna A 40082;coluna B 40082;coluna C 40082
coluna A 15085;coluna B 15085;coluna C 15085
coluna A 25091;coluna B 25091;coluna C 25091
coluna A 10077;coluna B 10077;coluna C 10077
coluna A 45057;coluna B 45057;coluna C 45057
coluna A 30096;coluna B 30096;coluna C 30096
coluna A 5063;coluna B 5063;coluna C 5063
coluna A 5064;coluna B 5064;coluna C 5064
coluna A 20087;coluna B 20087;coluna C 20087
coluna A 35061;coluna B 35061;coluna C 35061
coluna A 50;coluna B 50;coluna C 50
coluna A 51;coluna B 51;coluna C 51
coluna A 40083;coluna B 40083;coluna C 40083
coluna A 15086;coluna B 15086;coluna C 15086
coluna A 25092;coluna B 25092;coluna C 25092
coluna A 25093;coluna B 25093;coluna C 25093
coluna A 10078;coluna B 10078;coluna C 10078
coluna A 45058;coluna B 45058;coluna C 45058
coluna A 45059;coluna B 45059;coluna C 45059
coluna A 30097;coluna B 30097;coluna C 30097
coluna A 5065;coluna B 5065;coluna C 5065
coluna A 20088;coluna B 20088;coluna C 20088
coluna A 35062;coluna B 35062;coluna C 35062
coluna A 52;coluna B 52;coluna C 52
coluna A 40084;coluna B 40084;coluna C 40084
coluna A 40085;coluna B 40085;coluna C 40085
coluna A 15087;coluna B 15087;coluna C 15087
coluna A 25094;coluna B 25094;coluna C 25094
coluna A 10079;coluna B 10079;coluna C 10079
coluna A 45060;coluna B 45060;coluna C 45060
coluna A 30098;coluna B 30098;coluna C 30098
coluna A 30099;coluna B 30099;coluna C 30099
coluna A 5066;coluna B 5066;coluna C 5066
coluna A 20089;coluna B 20089;coluna C 20089
coluna A 35063;coluna B 35063;coluna C 35063
coluna A 20090;coluna B 20090;coluna C 20090
coluna A 53;coluna B 53;coluna C 53
coluna A 40086;coluna B 40086;coluna C 40086
coluna A 15088;coluna B 15088;coluna C 15088
coluna A 25095;coluna B 25095;coluna C 25095
coluna A 10080;coluna B 10080;coluna C 10080
coluna A 45061;coluna B 45061;coluna C 45061
coluna A 30100;coluna B 30100;coluna C 30100
coluna A 5067;coluna B 5067;coluna C 5067
coluna A 35064;coluna B 35064;coluna C 35064
coluna A 20091;coluna B 20091;coluna C 20091
coluna A 54;coluna B 54;coluna C 54
coluna A 40087;coluna B 40087;coluna C 40087
coluna A 15089;coluna B 15089;coluna C 15089
coluna A 25096;coluna B 25096;coluna C 25096
coluna A 25097;coluna B 25097;coluna C 25097
coluna A 10081;coluna B 10081;coluna C 10081
coluna A 10082;coluna B 10082;coluna C 10082
coluna A 45062;coluna B 45062;coluna C 45062
coluna A 30101;coluna B 30101;coluna C 30101
coluna A 45063;coluna B 45063;coluna C 45063
coluna A 5068;coluna B 5068;coluna C 5068
coluna A 35065;coluna B 35065;coluna C 35065
coluna A 20092;coluna B 20092;coluna C 20092
coluna A 20093;coluna B 20093;coluna C 20093
coluna A 55;coluna B 55;coluna C 55
coluna A 56;coluna B 56;coluna C 56
coluna A 40088;coluna B 40088;coluna C 40088
coluna A 57;coluna B 57;coluna C 57
coluna A 15090;coluna B 15090;coluna C 15090
coluna A 25098;coluna B 25098;coluna C 25098
coluna A 25099;coluna B 25099;coluna C 25099
coluna A 10083;coluna B 10083;coluna C 10083
coluna A 30102;coluna B 30102;coluna C 30102
coluna A 45064;coluna B 45064;coluna C 45064
coluna A 5069;coluna B 5069;coluna C 5069
coluna A 35066;coluna B 35066;coluna C 35066
coluna A 20094;coluna B 20094;coluna C 20094
coluna A 35067;coluna B 35067;coluna C 35067
coluna A 40089;coluna B 40089;coluna C 40089
coluna A 58;coluna B 58;coluna C 58
coluna A 59;coluna B 59;coluna C 59
coluna A 15091;coluna B 15091;coluna C 15091
coluna A 25100;coluna B 25100;coluna C 25100
coluna A 10084;coluna B 10084;coluna C 10084
coluna A 25101;coluna B 25101;coluna C 25101
coluna A 30103;coluna B 30103;coluna C 30103
coluna A 45065;coluna B 45065;coluna C 45065
coluna A 25102;coluna B 25102;coluna C 25102
coluna A 5070;coluna B 5070;coluna C 5070
coluna A 20095;coluna B 20095;coluna C 20095
coluna A 35068;coluna B 35068;coluna C 35068
coluna A 40090;coluna B 40090;coluna C 40090
coluna A 40091;coluna B 40091;coluna C 40091
coluna A 60;coluna B 60;coluna C 60
coluna A 15092;coluna B 15092;coluna C 15092
coluna A 10085;coluna B 10085;coluna C 10085
coluna A 30104;coluna B 30104;coluna C 30104
coluna A 45066;coluna B 45066;coluna C 45066
coluna A 25103;coluna B 25103;coluna C 25103
coluna A 5071;coluna B 5071;coluna C 5071
coluna A 20096;coluna B 20096;coluna C 20096
coluna A 35069;coluna B 35069;coluna C 35069
coluna A 40092;coluna B 40092;coluna C 40092
coluna A 61;coluna B 61;coluna C 61
coluna A 62;coluna B 62;coluna C 62
coluna A 15093;coluna B 15093;coluna C 15093
coluna A 10086;coluna B 10086;coluna C 10086
coluna A 10087;coluna B 10087;coluna C 10087
coluna A 30105;coluna B 30105;coluna C 30105
coluna A 45067;coluna B 45067;coluna C 45067
coluna A 45068;coluna B 45068;coluna C 45068
coluna A 25104;coluna B 25104;coluna C 25104
coluna A 5072;coluna B 5072;coluna C 5072
coluna A 20097;coluna B 20097;coluna C 20097
coluna A 35070;coluna B 35070;coluna C 35070
coluna A 40093;coluna B 40093;coluna C 40093
coluna A 63;coluna B 63;coluna C 63
coluna A 15094;coluna B 15094;coluna C 15094
coluna A 10088;coluna B 10088;coluna C 10088
coluna A 30106;coluna B 30106;coluna C 30106
coluna A 45069;coluna B 45069;coluna C 45069
coluna A 25105;coluna B 25105;coluna C 25105
coluna A 5073;coluna B 5073;coluna C 5073
coluna A 20098;coluna B 20098;coluna C 20098
coluna A 35071;coluna B 35071;coluna C 35071
coluna A 40094;coluna B 40094;coluna C 40094
coluna A 64;coluna B 64;coluna C 64
coluna A 15095;coluna B 15095;coluna C 15095
coluna A 10089;coluna B 10089;coluna C 10089
coluna A 30107;coluna B 30107;coluna C 30107
coluna A 45070;coluna B 45070;coluna C 45070
coluna A 25106;coluna B 25106;coluna C 25106
coluna A 5074;coluna B 5074;coluna C 5074
coluna A 20099;coluna B 20099;coluna C 20099
coluna A 35072;coluna B 35072;coluna C 35072
coluna A 20100;coluna B 20100;coluna C 20100
coluna A 20101;coluna B 20101;coluna C 20101
coluna A 20102;coluna B 20102;coluna C 20102
coluna A 20103;coluna B 20103;coluna C 20103
coluna A 40095;coluna B 40095;coluna C 40095
coluna A 40096;coluna B 40096;coluna C 40096
coluna A 40097;coluna B 40097;coluna C 40097
coluna A 40098;coluna B 40098;coluna C 40098
coluna A 65;coluna B 65;coluna C 65
coluna A 15096;coluna B 15096;coluna C 15096
coluna A 10090;coluna B 10090;coluna C 10090
coluna A 30108;coluna B 30108;coluna C 30108
coluna A 45071;coluna B 45071;coluna C 45071
coluna A 25107;coluna B 25107;coluna C 25107
coluna A 5075;coluna B 5075;coluna C 5075
coluna A 35073;coluna B 35073;coluna C 35073
coluna A 20104;coluna B 20104;coluna C 20104
coluna A 40099;coluna B 40099;coluna C 40099
coluna A 66;coluna B 66;coluna C 66
coluna A 15097;coluna B 15097;coluna C 15097
coluna A 10091;coluna B 10091;coluna C 10091
coluna A 30109;coluna B 30109;coluna C 30109
coluna A 45072;coluna B 45072;coluna C 45072
coluna A 25108;coluna B 25108;coluna C 25108
coluna A 5076;coluna B 5076;coluna C 5076
coluna A 35074;coluna B 35074;coluna C 35074
coluna A 20105;coluna B 20105;coluna C 20105
coluna A 40100;coluna B 40100;coluna C 40100
coluna A 67;coluna B 67;coluna C 67
coluna A 15098;coluna B 15098;coluna C 15098
coluna A 15099;coluna B 15099;coluna C 15099
coluna A 10092;coluna B 10092;coluna C 10092
coluna A 30110;coluna B 30110;coluna C 30110
coluna A 45073;coluna B 45073;coluna C 45073
coluna A 25109;coluna B 25109;coluna C 25109
coluna A 5077;coluna B 5077;coluna C 5077
coluna A 35075;coluna B 35075;coluna C 35075
coluna A 20106;coluna B 20106;coluna C 20106
coluna A 35076;coluna B 35076;coluna C 35076
coluna A 40101;coluna B 40101;coluna C 40101
coluna A 40102;coluna B 40102;coluna C 40102
coluna A 68;coluna B 68;coluna C 68
coluna A 69;coluna B 69;coluna C 69
coluna A 15100;coluna B 15100;coluna C 15100
coluna A 10093;coluna B 10093;coluna C 10093
coluna A 30111;coluna B 30111;coluna C 30111
coluna A 45074;coluna B 45074;coluna C 45074
coluna A 25110;coluna B 25110;coluna C 25110
coluna A 5078;coluna B 5078;coluna C 5078
coluna A 20107;coluna B 20107;coluna C 20107
coluna A 35077;coluna B 35077;coluna C 35077
coluna A 40103;coluna B 40103;coluna C 40103
coluna A 40104;coluna B 40104;coluna C 40104
coluna A 70;coluna B 70;coluna C 70
coluna A 15101;coluna B 15101;coluna C 15101
coluna A 10094;coluna B 10094;coluna C 10094
coluna A 30112;coluna B 30112;coluna C 30112
coluna A 45075;coluna B 45075;coluna C 45075
coluna A 45076;coluna B 45076;coluna C 45076
coluna A 45077;coluna B 45077;coluna C 45077
coluna A 25111;coluna B 25111;coluna C 25111
coluna A 5079;coluna B 5079;coluna C 5079
coluna A 20108;coluna B 20108;coluna C 20108
coluna A 35078;coluna B 35078;coluna C 35078
coluna A 40105;coluna B 40105;coluna C 40105
coluna A 71;coluna B 71;coluna C 71
coluna A 72;coluna B 72;coluna C 72
coluna A 15102;coluna B 15102;coluna C 15102
coluna A 10095;coluna B 10095;coluna C 10095
coluna A 10096;coluna B 10096;coluna C 10096
coluna A 30113;coluna B 30113;coluna C 30113
coluna A 45078;coluna B 45078;coluna C 45078
coluna A 25112;coluna B 25112;coluna C 25112
coluna A 5080;coluna B 5080;coluna C 5080
coluna A 20109;coluna B 20109;coluna C 20109
coluna A 35079;coluna B 35079;coluna C 35079
coluna A 40106;coluna B 40106;coluna C 40106
coluna A 73;coluna B 73;coluna C 73
coluna A 74;coluna B 74;coluna C 74
coluna A 75;coluna B 75;coluna C 75
coluna A 76;coluna B 76;coluna C 76
coluna A 15103;coluna B 15103;coluna C 15103
coluna A 10097;coluna B 10097;coluna C 10097
coluna A 30114;coluna B 30114;coluna C 30114
coluna A 45079;coluna B 45079;coluna C 45079
coluna A 25113;coluna B 25113;coluna C 25113
coluna A 5081;coluna B 5081;coluna C 5081
coluna A 20110;coluna B 20110;coluna C 20110
coluna A 35080;coluna B 35080;coluna C 35080
coluna A 35081;coluna B 35081;coluna C 35081
coluna A 40107;coluna B 40107;coluna C 40107
coluna A 40108;coluna B 40108;coluna C 40108
coluna A 77;coluna B 77;coluna C 77
coluna A 15104;coluna B 15104;coluna C 15104
coluna A 10098;coluna B 10098;coluna C 10098
coluna A 30115;coluna B 30115;coluna C 30115
coluna A 45080;coluna B 45080;coluna C 45080
coluna A 25114;coluna B 25114;coluna C 25114
coluna A 5082;coluna B 5082;coluna C 5082
coluna A 20111;coluna B 20111;coluna C 20111
coluna A 35082;coluna B 35082;coluna C 35082
coluna A 35083;coluna B 35083;coluna C 35083
coluna A 40109;coluna B 40109;coluna C 40109
coluna A 78;coluna B 78;coluna C 78
coluna A 15105;coluna B 15105;coluna C 15105
coluna A 10099;coluna B 10099;coluna C 10099
coluna A 30116;coluna B 30116;coluna C 30116
coluna A 45081;coluna B 45081;coluna C 45081
coluna A 25115;coluna B 25115;coluna C 25115
coluna A 5083;coluna B 5083;coluna C 5083
coluna A 20112;coluna B 20112;coluna C 20112
coluna A 35084;coluna B 35084;coluna C 35084
coluna A 40110;coluna B 40110;coluna C 40110
coluna A 79;coluna B 79;coluna C 79
coluna A 80;coluna B 80;coluna C 80
coluna A 15106;coluna B 15106;coluna C 15106
coluna A 10100;coluna B 10100;coluna C 10100
coluna A 30117;coluna B 30117;coluna C 30117
coluna A 30118;coluna B 30118;coluna C 30118
coluna A 45082;coluna B 45082;coluna C 45082
coluna A 25116;coluna B 25116;coluna C 25116
coluna A 5084;coluna B 5084;coluna C 5084
coluna A 20113;coluna B 20113;coluna C 20113
coluna A 35085;coluna B 35085;coluna C 35085
coluna A 40111;coluna B 40111;coluna C 40111
coluna A 81;coluna B 81;coluna C 81
coluna A 15107;coluna B 15107;coluna C 15107
coluna A 10101;coluna B 10101;coluna C 10101
coluna A 30119;coluna B 30119;coluna C 30119
coluna A 45083;coluna B 45083;coluna C 45083
coluna A 25117;coluna B 25117;coluna C 25117
coluna A 5085;coluna B 5085;coluna C 5085
coluna A 20114;coluna B 20114;coluna C 20114
coluna A 35086;coluna B 35086;coluna C 35086
coluna A 40112;coluna B 40112;coluna C 40112
coluna A 82;coluna B 82;coluna C 82
coluna A 15108;coluna B 15108;coluna C 15108
coluna A 10102;coluna B 10102;coluna C 10102
coluna A 30120;coluna B 30120;coluna C 30120
coluna A 10103;coluna B 10103;coluna C 10103
coluna A 45084;coluna B 45084;coluna C 45084
coluna A 25118;coluna B 25118;coluna C 25118
coluna A 25119;coluna B 25119;coluna C 25119
coluna A 5086;coluna B 5086;coluna C 5086
coluna A 20115;coluna B 20115;coluna C 20115
coluna A 5087;coluna B 5087;coluna C 5087
coluna A 35087;coluna B 35087;coluna C 35087
coluna A 35088;coluna B 35088;coluna C 35088
coluna A 40113;coluna B 40113;coluna C 40113
coluna A 83;coluna B 83;coluna C 83
coluna A 15109;coluna B 15109;coluna C 15109
coluna A 30121;coluna B 30121;coluna C 30121
coluna A 30122;coluna B 30122;coluna C 30122
